cap_shape,cap_surface,cap_color,capID
x,s,n,xsn
x,s,y,xsy
b,s,w,bsw
x,y,w,xyw
x,s,g,xsg
x,y,y,xyy
b,y,w,byw
b,s,y,bsy
x,f,n,xfn
s,f,g,sfg
f,f,w,ffw
x,y,n,xyn
b,y,y,byy
f,s,w,fsw
f,f,n,ffn
x,f,y,xfy
x,s,w,xsw
f,y,y,fyy
f,f,g,ffg
f,s,n,fsn
x,f,g,xfg
f,f,y,ffy
f,s,y,fsy
f,y,n,fyn
s,f,n,sfn
x,f,w,xfw
f,s,g,fsg
x,y,g,xyg
x,y,e,xye
f,y,w,fyw
x,f,e,xfe
f,y,e,fye
f,f,e,ffe
f,y,g,fyg
x,s,p,xsp
x,f,p,xfp
x,y,b,xyb
f,s,b,fsb
f,y,u,fyu
b,s,b,bsb
f,f,c,ffc
x,s,b,xsb
k,y,n,kyn
f,s,p,fsp
k,s,p,ksp
x,y,r,xyr
x,s,e,xse
x,y,u,xyu
k,y,b,kyb
f,y,b,fyb
k,f,n,kfn
b,f,y,bfy
k,y,e,kye
f,y,p,fyp
k,s,e,kse
f,s,e,fse
k,s,b,ksb
k,s,n,ksn
k,f,y,kfy
k,f,c,kfc
b,y,p,byp
k,y,p,kyp
f,g,w,fgw
f,y,c,fyc
k,y,c,kyc
c,g,w,cgw
b,g,w,bgw
x,y,c,xyc
x,y,p,xyp
b,y,n,byn
k,y,w,kyw
b,y,b,byb
k,y,y,kyy
x,f,c,xfc
b,f,n,bfn
f,y,r,fyr
b,s,p,bsp
c,y,w,cyw
k,g,w,kgw
b,s,n,bsn
x,s,c,xsc
b,f,w,bfw
k,f,w,kfw
b,s,g,bsg
k,s,w,ksw
b,f,g,bfg
k,s,g,ksg
k,f,g,kfg
f,s,c,fsc
c,y,y,cyy
