stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,stalkID
e,e,s,s,w,w,eessww
e,c,s,s,w,w,ecssww
t,e,s,s,w,w,tessww
t,e,s,f,w,w,tesfww
t,b,s,s,w,w,tbssww
e,r,s,y,w,w,ersyww
t,e,f,s,w,w,tefsww
t,e,f,f,w,w,teffww
t,b,s,s,g,p,tbssgp
t,b,s,s,p,w,tbsspw
t,b,s,s,g,w,tbssgw
t,b,s,s,w,g,tbsswg
t,b,s,s,p,p,tbsspp
t,b,s,s,p,g,tbsspg
t,b,s,s,w,p,tbsswp
t,b,s,s,g,g,tbssgg
e,b,k,k,n,b,ebkknb
e,b,k,k,b,b,ebkkbb
e,b,k,k,n,p,ebkknp
e,b,s,s,w,w,ebssww
e,b,k,k,b,p,ebkkbp
e,b,k,k,n,n,ebkknn
e,b,k,k,p,b,ebkkpb
e,b,k,k,b,n,ebkkbn
e,b,k,k,p,n,ebkkpn
e,b,k,k,p,p,ebkkpp
t,b,f,s,w,w,tbfsww
e,?,s,s,e,w,e?ssew
t,?,k,s,w,w,t?ksww
t,b,s,f,w,w,tbsfww
e,?,s,f,w,w,e?sfww
t,?,k,s,p,p,t?kspp
t,?,s,s,p,p,t?sspp
t,b,f,f,w,w,tbffww
e,b,f,f,w,n,ebffwn
t,?,k,k,p,p,t?kkpp
t,?,s,k,p,w,t?skpw
e,?,s,s,w,w,e?ssww
e,?,s,s,w,e,e?sswe
e,?,k,y,w,n,e?kywn
t,?,s,k,w,p,t?skwp
t,?,k,s,w,p,t?kswp
e,?,s,s,e,e,e?ssee
e,b,s,f,w,n,ebsfwn
e,?,k,y,w,y,e?kywy
t,?,s,k,p,p,t?skpp
t,?,s,s,p,w,t?sspw
e,b,f,s,w,n,ebfswn
t,?,k,k,w,w,t?kkww
t,?,k,s,p,w,t?kspw
t,?,k,k,p,w,t?kkpw
t,?,s,k,w,w,t?skww
t,?,s,s,w,p,t?sswp
t,?,s,s,w,w,t?ssww
t,?,k,k,w,p,t?kkwp
e,b,s,s,w,n,ebsswn
e,?,s,s,o,o,e?ssoo
e,?,k,k,w,w,e?kkww
e,?,k,s,w,w,e?ksww
e,?,s,k,w,w,e?skww
e,c,k,y,c,c,eckycc
e,c,y,y,y,y,ecyyyy
e,b,y,y,n,n,ebyynn
